Time,Global_ID,Local_ID,Lane_Path,Final_Lane,Unique_Key,Radar_Dist,Radar_Vel,Track_Vel,Score,BBox_W,BBox_H,Ref_U,Ref_V,Proj_U,Proj_V,Delta_U,Delta_V,Pixel_Error,RU,RV,Is_Matched
1771833226.8094394,64,6,OUT3,OUT3,6(OUT3),51.65369271704791,25.5950065612793,25.714023396813413,50.63056956758947,210.0,152.0,1738.0,860.0,1628.0,927.0,-110.0,67.0,128.79829191413992,-0.5238095238095238,0.4407894736842105,1
1771833226.8094394,60,6,IN2,IN2,6(IN2),94.13307360867793,50.474626350402836,47.90740637396123,65.61339029959535,90.0,73.0,627.0,621.0,586.0,603.0,-41.0,-18.0,44.77722635447622,-0.45555555555555555,-0.2465753424657534,1
1771833226.8094394,59,5,OUT3,OUT3,5(OUT3),60.288337525951476,27.979635429382324,27.75760401089921,52.18772196443377,169.0,131.0,1536.0,776.0,1458.0,705.0,-78.0,-71.0,105.47511554864494,-0.46153846153846156,-0.5419847328244275,1
1771833226.8094394,55,7,IN3,IN3,7(IN3),93.67050091671234,34.49761962890625,34.410053562443494,55.63363997131364,91.0,85.0,771.0,619.0,730.0,637.0,-41.0,18.0,44.77722635447622,-0.45054945054945056,0.21176470588235294,1
1771833226.8094394,54,4,OUT3,OUT3,4(OUT3),60.442526717829715,27.979635429382324,27.837346518029985,67.09765060159322,128.0,98.0,1411.0,678.0,1458.0,705.0,47.0,27.0,54.20332093147061,0.3671875,0.2755102040816326,1
1771833226.8094394,47,6,IN3,IN3,6(IN3),48.80117485394713,38.31302375793457,37.3708343895775,40.63083416348173,190.0,152.0,611.0,882.0,569.0,888.0,-42.0,6.0,42.42640687119285,-0.22105263157894736,0.039473684210526314,1
1771833226.8094394,40,5,IN3,IN3,5(IN3),-1.0,,29.665013785453255,38.54728749872612,182.0,190.0,753.0,1003.0,,,,,,,,0
1771833226.8094394,35,4,OUT1,OUT1,4(OUT1),41.78552293366161,,0.0,39.71006608699658,224.0,191.0,1256.0,947.0,,,,,,,,0
1771833226.8094394,19,3,OUT1,OUT1,3(OUT1),47.02798709939049,,0.0,62.826170101081715,160.0,132.0,1149.0,843.0,,,,,,,,0
1771833226.8094394,11,1,OUT1,OUT1,1(OUT1),56.8961562969168,,0.0,35.17909305657992,110.0,86.0,1069.0,669.0,,,,,,,,0
1771833226.8094394,0,2,OUT1,OUT1,2(OUT1),56.896156064823714,,0.0,67.72657833758113,164.0,107.0,1137.0,759.0,,,,,,,,0
1771833226.8546681,64,6,OUT3,OUT3,6(OUT3),51.345308146803255,25.5950065612793,25.674995210115153,51.21586950259064,209.0,151.0,1732.0,858.0,1646.0,813.0,-86.0,-45.0,97.06183596038146,-0.41148325358851673,-0.2980132450331126,1
1771833226.8546681,60,6,IN2,IN2,6(IN2),92.97664793958009,50.71308975219727,48.450151010496874,64.25784114815588,91.0,73.0,625.0,622.0,,,,,,,,0
1771833226.8546681,59,5,OUT3,OUT3,5(OUT3),55.97101236210622,26.787320995330813,27.438249555456277,52.42813630525285,168.0,133.0,1535.0,775.0,1646.0,813.0,111.0,38.0,117.32433677630571,0.6607142857142857,0.2857142857142857,1
1771833226.8546681,55,7,IN3,IN3,7(IN3),93.67050148757164,34.49761962890625,34.43891685738187,54.283394539521055,91.0,85.0,771.0,621.0,721.0,621.0,-50.0,0.0,50.0,-0.5494505494505495,0.0,1
1771833226.8546681,54,4,OUT3,OUT3,4(OUT3),60.750908738909914,27.979635429382324,27.884372451602655,67.06885936368988,127.0,98.0,1408.0,677.0,1431.0,705.0,23.0,28.0,36.235341863986875,0.18110236220472442,0.2857142857142857,1
1771833226.8546681,47,6,IN3,IN3,6(IN3),-1.0,,37.3708343895775,40.54957249515476,191.0,153.0,607.0,884.0,,,,,,,,0
1771833226.8546681,40,5,IN3,IN3,5(IN3),-1.0,,29.665013785453255,38.54728749872612,183.0,192.0,754.0,1008.0,,,,,,,,0
1771833226.8546681,35,4,OUT1,OUT1,4(OUT1),41.939712990465175,,0.0,39.71006608699658,223.0,191.0,1255.0,947.0,,,,,,,,0
1771833226.8546681,19,3,OUT1,OUT1,3(OUT1),47.02798710886938,,0.0,62.826170101081715,160.0,132.0,1149.0,843.0,,,,,,,,0
1771833226.8546681,11,1,OUT1,OUT1,1(OUT1),56.89615653848906,,0.0,35.17909305657992,111.0,86.0,1068.0,670.0,,,,,,,,0
1771833226.8546681,0,2,OUT1,OUT1,2(OUT1),56.8961574063053,,0.0,67.72657833758113,163.0,108.0,1137.0,761.0,,,,,,,,0
1771833226.892333,65,7,OUT3,OUT3,7(OUT3),38.39334110167437,23.05140380859375,23.05140380859375,19.045866831391066,111.0,244.0,1859.0,1039.0,,,,,,,,0
1771833226.892333,64,6,OUT3,OUT3,6(OUT3),47.79893547723765,25.43603096008301,25.59663368002438,51.79817629301759,207.0,150.0,1729.0,855.0,1645.0,780.0,-84.0,-75.0,112.60994627474076,-0.4057971014492754,-0.5,1
1771833226.892333,60,6,IN2,IN2,6(IN2),92.51407459374585,50.87206192016602,48.902129693968554,62.94260297857561,91.0,73.0,624.0,622.0,683.0,633.0,59.0,11.0,60.01666435249463,0.6483516483516484,0.1506849315068493,1
1771833226.892333,59,5,OUT3,OUT3,5(OUT3),61.52185778907577,28.138611030578613,27.668296852890172,52.59832206280759,167.0,132.0,1532.0,772.0,1645.0,780.0,113.0,8.0,113.28283188550682,0.6766467065868264,0.06060606060606061,1
1771833226.892333,55,7,IN3,IN3,7(IN3),92.74535987295643,34.656591796875,34.51046370617811,53.0141547084749,90.0,86.0,771.0,622.0,729.0,634.0,-42.0,12.0,43.68065933568311,-0.4666666666666667,0.13953488372093023,1
1771833226.892333,54,4,OUT3,OUT3,4(OUT3),61.52185614926937,28.138611030578613,27.968037907292338,67.05333381565937,128.0,99.0,1407.0,677.0,1430.0,705.0,23.0,28.0,36.235341863986875,0.1796875,0.2828282828282828,1
1771833226.892333,47,6,IN3,IN3,6(IN3),-1.0,,37.3708343895775,40.54957249515476,192.0,154.0,604.0,887.0,,,,,,,,0
1771833226.892333,40,5,IN3,IN3,5(IN3),-1.0,,29.665013785453255,38.54728749872612,184.0,193.0,754.0,1013.0,,,,,,,,0
1771833226.892333,35,4,OUT1,OUT1,4(OUT1),41.9397130118683,,0.0,39.71006608699658,224.0,191.0,1255.0,946.0,,,,,,,,0
1771833226.892333,19,3,OUT1,OUT1,3(OUT1),57.20453629487835,,0.0,62.826170101081715,160.0,132.0,1149.0,843.0,,,,,,,,0
1771833226.892333,11,1,OUT1,OUT1,1(OUT1),57.05034792033539,,0.0,35.17909305657992,110.0,86.0,1068.0,670.0,,,,,,,,0
1771833226.892333,0,2,OUT1,OUT1,2(OUT1),57.050347324853185,,0.0,67.72657833758113,164.0,108.0,1137.0,760.0,,,,,,,,0
1771833226.9341471,65,7,OUT3,OUT3,7(OUT3),38.39334110167437,23.05140380859375,23.05140380859375,19.210632579187617,115.0,241.0,1857.0,1034.0,1901.0,887.0,44.0,-147.0,153.44380078712857,0.3826086956521739,-0.6099585062240664,1
1771833226.9341471,64,6,OUT3,OUT3,6(OUT3),47.79893547723765,25.43603096008301,25.543968585332845,52.37487437716105,206.0,150.0,1726.0,852.0,1645.0,780.0,-81.0,-72.0,108.37435120913067,-0.3932038834951456,-0.48,1
1771833226.9341471,60,6,IN2,IN2,6(IN2),92.51407459374585,50.87206192016602,49.40389875982549,61.69601168856395,92.0,73.0,624.0,622.0,683.0,633.0,59.0,11.0,60.01666435249463,0.6413043478260869,0.1506849315068493,1
1771833226.9341471,59,5,OUT3,OUT3,5(OUT3),61.52185778907577,28.138611030578613,27.822639345205562,52.71454243100221,166.0,130.0,1530.0,769.0,1645.0,780.0,115.0,11.0,115.52488909321661,0.6927710843373494,0.08461538461538462,1
1771833226.9341471,55,7,IN3,IN3,7(IN3),92.74535987295643,34.656591796875,34.55843273181622,51.78466406632749,90.0,86.0,771.0,623.0,729.0,634.0,-42.0,11.0,43.41658669218482,-0.4666666666666667,0.12790697674418605,1
1771833226.9341471,54,4,OUT3,OUT3,4(OUT3),61.52185614926937,28.138611030578613,28.024061884740856,67.05689859307057,128.0,99.0,1405.0,677.0,1430.0,705.0,25.0,28.0,37.53664875824692,0.1953125,0.2828282828282828,1
1771833226.9341471,47,6,IN3,IN3,6(IN3),-1.0,,37.3708343895775,40.54957249515476,194.0,155.0,601.0,890.0,,,,,,,,0
1771833226.9341471,40,5,IN3,IN3,5(IN3),-1.0,,29.665013785453255,38.54728749872612,184.0,195.0,753.0,1017.0,,,,,,,,0
1771833226.9341471,35,4,OUT1,OUT1,4(OUT1),41.9397130118683,,0.0,39.71006608699658,223.0,191.0,1255.0,947.0,,,,,,,,0
1771833226.9341471,19,3,OUT1,OUT1,3(OUT1),57.20453629487835,,0.0,62.826170101081715,161.0,133.0,1148.0,844.0,,,,,,,,0
1771833226.9341471,11,1,OUT1,OUT1,1(OUT1),57.05034792033539,,0.0,35.17909305657992,110.0,87.0,1068.0,671.0,,,,,,,,0
