Time,Global_ID,Local_ID,Lane_Path,Final_Lane,Unique_Key,Radar_Dist,Radar_Vel,Track_Vel,Score,Reproj_Error_px
1771495727.101603,151,11,OUT1,OUT1,11(OUT1),96.21463712970555,,0.0,76.79294750498842,
1771495727.101603,86,5,OUT2,OUT2,5(OUT2),-1.0,,0.0,49.92205489565287,
1771495727.1536226,230,3,IN1,IN1,3(IN1),79.40791136962069,34.02069282531738,33.998159317902704,57.72047158797962,
1771495727.1536226,227,32,IN2,IN2,32(IN2),98.99005814851873,41.9694522857666,37.309298415730446,30.111575687389944,
1771495727.1536226,225,20,IN3,IN3,20(IN3),88.50512902736556,,39.71022687639509,70.09997000160806,72.24615478515625
1771495727.1536226,219,31,IN2,IN2,31(IN2),79.25372244288253,34.02069282531738,34.40184795710044,26.72633055326075,61.02962875366211
1771495727.1536226,215,30,IN2,IN2,30(IN2),77.55763397015623,33.861717224121094,33.92519932114577,21.220662580551743,56.77357482910156
1771495727.1536226,204,19,IN3,IN3,19(IN3),87.42580106583573,41.9694522857666,39.54205781026326,39.59222209954103,68.18034362792969
1771495727.1536226,165,12,OUT1,OUT1,12(OUT1),96.67721259090445,,0.0,46.553358903360596,73.87995147705078
1771495727.1536226,151,11,OUT1,OUT1,11(OUT1),96.21464000636138,,0.0,76.79294750498842,
1771495727.1536226,86,5,OUT2,OUT2,5(OUT2),-1.0,,0.0,49.92205489565287,
1771495727.221092,230,3,IN1,IN1,3(IN1),78.9453395341457,34.02069282531738,34.00554996751503,56.68165880955039,62.97071838378906
1771495727.221092,227,32,IN2,IN2,32(IN2),92.51407322260232,35.133518600463866,37.0937528562139,29.867869726570873,
1771495727.221092,225,20,IN3,IN3,20(IN3),88.11965432281089,,40.51985917772566,70.09997000160806,70.51658630371094
1771495727.221092,219,31,IN2,IN2,31(IN2),83.41685815858737,34.02069282531738,34.27685896903599,26.287110838530527,61.057125091552734
1771495727.221092,215,30,IN2,IN2,30(IN2),76.94087585404203,33.861717224121094,33.90430995526205,21.026047101340662,54.99252700805664
1771495727.221092,204,19,IN3,IN3,19(IN3),75.6302516228433,19.077024078369142,40.01465859156653,39.513037655341954,64.95794677734375
1771495727.221092,165,12,OUT1,OUT1,12(OUT1),96.2146372501809,,0.0,46.553358903360596,
1771495727.221092,151,11,OUT1,OUT1,11(OUT1),96.21463712970555,,0.0,76.79294750498842,
1771495727.221092,86,5,OUT2,OUT2,5(OUT2),-1.0,,0.0,49.92205489565287,
1771495727.267576,230,3,IN1,IN1,3(IN1),-1.0,,34.00554996751503,56.56829549193129,62.391597747802734
1771495727.267576,227,32,IN2,IN2,32(IN2),-1.0,,37.0937528562139,29.80813398711773,
1771495727.267576,225,20,IN3,IN3,20(IN3),88.8135094170135,,40.53510015367475,70.09997000160806,71.91381072998047
1771495727.267576,219,31,IN2,IN2,31(IN2),86.19228376226265,35.133518600463866,34.55777613496199,25.862043074222765,61.85236358642578
1771495727.267576,215,30,IN2,IN2,30(IN2),76.16992671188795,33.861717224121094,33.89032101107739,20.83492754253527,51.360145568847656
1771495727.267576,204,19,IN3,IN3,19(IN3),62.446997600175656,37.995072555541995,39.19761775845985,39.108248456500164,64.75537109375
1771495727.267576,165,12,OUT1,OUT1,12(OUT1),91.74312754034331,,0.0,46.553358903360596,77.43063354492188
1771495727.267576,151,11,OUT1,OUT1,11(OUT1),96.67720472967451,,0.0,76.79294750498842,
1771495727.267576,86,5,OUT2,OUT2,5(OUT2),-1.0,,0.0,49.92205489565287,
1771495727.3199012,230,3,IN1,IN1,3(IN1),81.72076340721712,33.861717224121094,33.94899517525851,55.58968377925129,62.34797668457031
1771495727.3199012,227,32,IN2,IN2,32(IN2),-1.0,,37.0937528562139,29.80813398711773,
1771495727.3199012,225,20,IN3,IN3,20(IN3),96.98558333417469,42.9233024597168,41.70557008470808,68.63034836963743,
1771495727.3199012,219,31,IN2,IN2,31(IN2),90.81798917416528,35.133518600463866,34.746574503722066,25.45045332591981,
1771495727.3199012,215,30,IN2,IN2,30(IN2),67.84365608588254,33.861717224121094,33.88093458108737,20.647210186966735,54.1698112487793
1771495727.3199012,204,19,IN3,IN3,19(IN3),73.70287857318817,37.67712135314942,38.64895867338122,38.6663890082957,
1771495727.3199012,165,12,OUT1,OUT1,12(OUT1),87.88835915102433,,0.0,46.553358903360596,
1771495727.3199012,151,11,OUT1,OUT1,11(OUT1),-1.0,,0.0,76.79294750498842,
1771495727.3199012,86,5,OUT2,OUT2,5(OUT2),-1.0,,0.0,49.92205489565287,
1771495727.3747435,233,9,OUT3,OUT3,9(OUT3),51.499497776715366,46.42075881958008,46.42075881958008,48.83527480521707,125.73710632324219
1771495727.3747435,230,3,IN1,IN1,3(IN1),76.94086667008501,33.861717224121094,33.91790963067268,54.54332413032102,
1771495727.3747435,227,32,IN2,IN2,32(IN2),61.05929046827903,37.67712135314942,37.36333017470526,29.778130281465426,
1771495727.3747435,225,20,IN3,IN3,20(IN3),-1.0,,41.790608627892716,68.49308767289816,71.91381072998047
1771495727.3747435,219,31,IN2,IN2,31(IN2),85.72971375662449,35.133518600463866,34.87346181618817,25.051709782300502,60.88275909423828
