Time,Global_ID,Local_ID,Lane_Path,Final_Lane,Unique_Key,Radar_Dist,Radar_Vel,Track_Vel,Score
1771504480.2499146,82,2,IN1,IN1,2(IN1),-1.0,,55.79244150212672,29.506444956129457
1771504480.2499146,14,2,OUT1,OUT1,2(OUT1),88.35093689043767,,0.0,61.28281346281007
1771504480.2499146,5,1,OUT1,OUT1,1(OUT1),96.21464359004213,,110.27248615822644,91.58200472310428
1771504480.2499146,3,1,OUT2,OUT2,1(OUT2),-1.0,,0.0,79.84
1771504480.3062449,98,4,OUT1,OUT1,4(OUT1),71.23584275742941,195.8574462890625,30.984947024386933,62.87194615732733
1771504480.3062449,96,13,IN2,IN2,13(IN2),-1.0,,0.0,79.84
1771504480.3062449,94,3,OUT1,OUT1,3(OUT1),59.20900865770104,27.661684226989745,28.188273685748975,81.07681154099389
1771504480.3062449,92,3,OUT2,OUT2,3(OUT2),71.39003128736285,33.06684265136719,33.507220004611085,76.85755562666183
1771504480.3062449,91,12,IN2,IN2,12(IN2),89.276083248362,40.22072410583496,40.08335535287747,60.79152761299226
1771504480.3062449,87,11,IN2,IN2,11(IN2),89.04479824252886,40.22072410583496,32.96303954671252,42.50593925392222
1771504480.3062449,85,10,IN2,IN2,10(IN2),50.882737732639065,55.95927085876465,27.208423005897828,23.662722418736543
1771504480.3062449,82,2,IN1,IN1,2(IN1),50.5743591773191,55.95927085876465,55.86214996963418,29.286694436805334
1771504480.3062449,14,2,OUT1,OUT1,2(OUT1),88.35093526566953,,0.0,61.28281346281007
1771504480.3062449,5,1,OUT1,OUT1,1(OUT1),96.06044457061176,,107.91618881681808,91.58200472310428
1771504480.3062449,3,1,OUT2,OUT2,1(OUT2),-1.0,,0.0,79.84
1771504480.3585784,98,4,OUT1,OUT1,4(OUT1),67.53527605148177,32.9078670501709,31.788183395443976,62.84581597195722
1771504480.3585784,96,13,IN2,IN2,13(IN2),-1.0,,0.0,79.84
1771504480.3585784,94,3,OUT1,OUT1,3(OUT1),59.51738785577293,27.502708625793456,27.96346212105943,81.27076426244705
